"","Excretory","Glia","Hypodermis","Intestine","Muscle_mesoderm","Neuron","Pharynx","Rectal_cells","Reproductive","Unannotated","Unknown"
"WBGene00000001",0,15,33,6,140,2751,17,0,46,48,3
"WBGene00000002",6,3,17,10,139,974,176,0,130,31,12
"WBGene00000003",0,0,18,0,17,265,7,0,5,15,0
"WBGene00000004",0,84,13,7,42,1650,6,0,20,7,5
"WBGene00000005",0,0,0,0,0,550,2,0,60,2,0
"WBGene00000006",0,2,11,0,109,2936,28,0,1,88,4
"WBGene00000007",0,4,0,20,0,36,15,0,0,0,0
"WBGene00000008",0,0,0,0,0,35,0,0,0,1,0
"WBGene00000009",0,0,0,0,0,11,0,0,0,0,0
"WBGene00000010",4,1,9,0,26,212,6,0,35,1,13
"WBGene00000012",0,0,0,7,4,80,7,0,114,0,0
"WBGene00000013",112,19,95,19,5,74,495,28,161,19,65
"WBGene00000014",0,0,0,0,0,24,5,0,0,0,0
"WBGene00000015",0,0,6,0,1,0,160,0,0,9,0
"WBGene00000016",4,0,28,22,21,30,1972,0,19,25,6
"WBGene00000017",0,8,64,0,49,35,1713,0,2,16,6
"WBGene00000018",3,77,16,12,73,1999,53,0,134,58,13
"WBGene00000019",0,0,0,0,0,189,0,0,1,0,0
"WBGene00000020",0,4,7,9,3,1298,47,1,10,53,0
"WBGene00000022",0,0,0,45,0,113,4,14,0,10,12
"WBGene00000023",0,0,0,0,0,74,0,0,7,0,0
"WBGene00000024",7,10,81,23,3,39,2009,0,33,16,6
"WBGene00000026",0,0,0,0,0,5,0,0,1,0,0
"WBGene00000027",0,0,4,0,3,4,45,0,0,0,0
"WBGene00000028",0,0,0,0,0,174,0,0,0,0,0
"WBGene00000029",0,0,0,0,0,7,385,0,7,5,0
"WBGene00000030",0,5,10,3,2,41,297,0,18,14,0
"WBGene00000031",0,0,22,5,14,61,1526,0,17,19,25
"WBGene00000032",0,0,0,0,0,0,130,0,7,0,0
"WBGene00000033",0,0,44,14,15,31,1201,0,37,16,14
"WBGene00000034",4,12,38,12,31,98,3133,0,38,20,0
"WBGene00000035",0,1,1,0,79,200,0,0,6,0,0
"WBGene00000036",0,58,19,0,6,535,4,0,19,205,9
"WBGene00000037",1,9,5,3,5,5822,6,0,16,83,7
"WBGene00000038",0,0,0,0,0,78,4,0,0,9,0
"WBGene00000039",0,28,365,7,12,21,1,0,14,6,21
"WBGene00000040",2,40,246,59,115,949,57,0,185,29,2
"WBGene00000041",17,39,112,43,987,4766,157,0,536,97,40
"WBGene00000042",6,17,53,6,38,7422,8,1,3,220,26
"WBGene00000043",0,1,72,0,5,2431,6,0,4,12,0
"WBGene00000044",0,0,0,0,0,227,0,0,1,12,0
"WBGene00000045",0,1,11,2,0,724,0,0,0,8,0
"WBGene00000046",0,0,0,0,1,22,22,0,0,0,0
"WBGene00000047",0,14,1,0,41,172,0,0,0,0,0
"WBGene00000048",0,1,2,0,15,1279,50,0,29,32,3
"WBGene00000049",0,2,4,0,2,126,3,0,0,0,0
"WBGene00000050",0,2,8,8,13,169,45,0,1,0,0
"WBGene00000051",0,11,42,0,7,8624,10,1,22,130,9
"WBGene00000053",0,2,26,1,0,1732,2,0,10,63,0
"WBGene00000054",0,3,27,7,173,1863,1,0,3,55,5
"WBGene00000055",0,1,1,14,50,728,4,0,1,18,0
"WBGene00000056",0,0,1,0,1,934,1,0,2,30,0
"WBGene00000057",0,5,12,0,20,1081,10,0,10,41,5
"WBGene00000058",0,1,4,5,0,699,0,0,2,81,0
"WBGene00000059",0,0,3,0,1,623,2,0,1,24,12
"WBGene00000060",0,0,11,0,0,1090,0,0,6,45,0
"WBGene00000061",0,3,1,0,0,154,38,0,4,0,0
"WBGene00000062",0,10,0,0,4,326,0,0,1,8,5
"WBGene00000063",70,214,736,121,29128,8795,3431,24,3988,327,255
"WBGene00000064",103,191,768,93,2170,29960,230,27,3874,610,219
"WBGene00000065",75,164,649,114,15418,12626,1638,11,8191,323,248
"WBGene00000066",670,2629,8723,2011,86888,145732,12756,22,45459,6675,3209
"WBGene00000067",64,1,76,1689,28,181,13,9,48,12,40
"WBGene00000068",8,20,22,5,79,5487,24,0,18,178,9
"WBGene00000069",1,0,10,3,1,3017,5,0,5,48,1
"WBGene00000070",0,6,11,0,64,343,29,0,5,18,0
"WBGene00000071",0,6,5,0,0,655,4,0,44,12,7
"WBGene00000072",3,8,32,8,85,5374,7,4,12,104,9
"WBGene00000073",25,1366,155,28,46,623,28,0,57,26,23
"WBGene00000074",0,17,21,0,75,1867,10,0,23,41,7
"WBGene00000075",0,0,23,9,6,98,0,0,17,3,1
"WBGene00000079",4,9,27,7,53,1721,20,0,56,69,7
"WBGene00000080",0,29,28,14,121,1232,17,0,127,34,10
"WBGene00000081",0,4,8,262,0,269,1,0,6,8,8
"WBGene00000082",0,17,9,0,0,9,3,0,0,0,1
"WBGene00000083",0,304,170,2,42,60,7,0,14,8,7
"WBGene00000084",0,0,66,39,0,46,1,0,15,1,0
"WBGene00000085",1,1,1,0,5,1355,5,0,4,4,5
"WBGene00000086",0,24,34,12,4,4144,5,3,23,207,7
"WBGene00000088",3,1,28,500,20,4826,8,23,17,45,1
"WBGene00000089",0,15,54,33,108,11195,20,0,35,156,9
"WBGene00000090",0,14,10,8,47,877,21,0,75,41,7
"WBGene00000092",6,15,52,19,154,16644,22,0,125,147,24
"WBGene00000093",0,20,15,9,173,1140,35,0,64,47,4
